YEAR,MO,DY,LAT,LON,T-IKO,TMIN-IKO,TMAX-IKO,RH2M-IKO
1983,1,1,6.62051,3.52061,23.81,19.02,29.39,68.48
1983,1,2,6.62051,3.52061,22.66,17.02,28.95,67.26
1983,1,3,6.62051,3.52061,21.92,16.36,28.53,67.39
1983,1,4,6.62051,3.52061,21.76,16.34,28.04,68.35
1983,1,5,6.62051,3.52061,21.62,16.64,27.66,67.42
1983,1,6,6.62051,3.52061,20.91,15.99,26.58,63.36
1983,1,7,6.62051,3.52061,21.48,16.56,27.54,65.18
1983,1,8,6.62051,3.52061,21.56,16.23,27.6,67.44
1983,1,9,6.62051,3.52061,22.01,16.61,27.71,69.52
1983,1,10,6.62051,3.52061,22.59,17.1,29.05,68.56
1983,1,11,6.62051,3.52061,23.02,17.34,29.53,69.78
1983,1,12,6.62051,3.52061,23.03,17.45,29.78,68.47
1983,1,13,6.62051,3.52061,22.28,17.12,28.8,64.15
1983,1,14,6.62051,3.52061,22.14,17.21,27.67,65.89
1983,1,15,6.62051,3.52061,22.87,18.21,28.49,67.45
1983,1,16,6.62051,3.52061,23.38,18.1,29.69,69.97
1983,1,17,6.62051,3.52061,23.76,17.99,30.29,66.87
1983,1,18,6.62051,3.52061,24.02,18.09,30.92,65.99
1983,1,19,6.62051,3.52061,23.69,17.37,30.61,62.76
1983,1,20,6.62051,3.52061,24.03,18.24,30.13,59.13
1983,1,21,6.62051,3.52061,25.05,19.83,30.51,60.48
1983,1,22,6.62051,3.52061,24.86,19.76,30.53,60.79
1983,1,23,6.62051,3.52061,24.05,19.28,30.07,60.13
1983,1,24,6.62051,3.52061,22.52,16.62,28.9,57.41
1983,1,25,6.62051,3.52061,22.53,16.93,28.99,60.22
1983,1,26,6.62051,3.52061,23.14,17.08,29.67,61.64
1983,1,27,6.62051,3.52061,23.27,17.54,29.37,57.46
1983,1,28,6.62051,3.52061,23.12,17.5,29.37,55.61
1983,1,29,6.62051,3.52061,23.15,16.96,29.72,58.42
1983,1,30,6.62051,3.52061,23.49,17.83,29.93,59.77
1983,1,31,6.62051,3.52061,24.09,18.63,30.12,60.49
1983,2,1,6.62051,3.52061,24.69,19.56,30.81,64.24
1983,2,2,6.62051,3.52061,25.62,21.39,31.2,65.62
1983,2,3,6.62051,3.52061,25.18,20.32,31.4,65.11
1983,2,4,6.62051,3.52061,25.56,20.48,31.12,72.85
1983,2,5,6.62051,3.52061,26.22,22.52,31.08,80.23
1983,2,6,6.62051,3.52061,26.92,23.39,32.23,76.49
1983,2,7,6.62051,3.52061,26.89,23.07,31.87,77.97
1983,2,8,6.62051,3.52061,27.22,23.44,32.38,78.08
1983,2,9,6.62051,3.52061,27.06,23.74,31.45,79.7
1983,2,10,6.62051,3.52061,26.95,23.42,31.25,79.75
1983,2,11,6.62051,3.52061,26.92,24.8,30.51,80.57
1983,2,12,6.62051,3.52061,27.1,24.06,31.31,77.37
1983,2,13,6.62051,3.52061,27.11,23.41,31.74,78.27
1983,2,14,6.62051,3.52061,27.22,23.65,31.83,78.9
1983,2,15,6.62051,3.52061,27.29,23.9,31.74,80.65
1983,2,16,6.62051,3.52061,27.52,23.9,32.23,78.58
1983,2,17,6.62051,3.52061,27.4,23.97,32.13,77.68
1983,2,18,6.62051,3.52061,27.18,23.92,31.59,78.39
1983,2,19,6.62051,3.52061,27.13,23.83,31.68,77.11
