LAT-Ikeja,LON-Ikeja,YEAR,MO,DY,T-MAX Ikeja,T-MIN Ikeja,RH-Ikeja,T-Ikeja 
6.61031,3.34771,1983,1,1,29.77,19.38,66.62,24.32
6.61031,3.34771,1983,1,2,29.2,17.62,64.23,23.09
6.61031,3.34771,1983,1,3,28.96,16.25,65.79,22.2
6.61031,3.34771,1983,1,4,28.43,16.34,67.29,22.03
6.61031,3.34771,1983,1,5,28.03,16.87,66.48,21.86
6.61031,3.34771,1983,1,6,26.91,15.78,60.9,21.01
6.61031,3.34771,1983,1,7,27.71,16.36,63.08,21.58
6.61031,3.34771,1983,1,8,28.17,16.38,66.3,21.93
6.61031,3.34771,1983,1,9,28.29,16.86,67.21,22.41
6.61031,3.34771,1983,1,10,29.37,17.42,67.96,22.9
6.61031,3.34771,1983,1,11,29.9,17.39,68.64,23.2
6.61031,3.34771,1983,1,12,30.02,17.53,67.71,23.21
6.61031,3.34771,1983,1,13,29.14,16.98,62.4,22.38
6.61031,3.34771,1983,1,14,28.24,17.15,63.96,22.41
6.61031,3.34771,1983,1,15,28.93,18.44,65.74,23.24
6.61031,3.34771,1983,1,16,30.11,18.24,68.6,23.65
6.61031,3.34771,1983,1,17,30.67,18.37,67.08,24.14
6.61031,3.34771,1983,1,18,31.25,18.26,65.17,24.36
6.61031,3.34771,1983,1,19,30.8,17.7,60.57,24.03
6.61031,3.34771,1983,1,20,30.53,18.95,57.8,24.53
6.61031,3.34771,1983,1,21,30.9,20.26,60.98,25.36
6.61031,3.34771,1983,1,22,30.73,19.99,63.41,25.07
6.61031,3.34771,1983,1,23,30.38,19.68,59.63,24.36
6.61031,3.34771,1983,1,24,29.32,16.6,55.44,22.76
6.61031,3.34771,1983,1,25,29.26,16.63,58.03,22.67
6.61031,3.34771,1983,1,26,29.88,17.09,59.73,23.4
6.61031,3.34771,1983,1,27,29.67,17.55,55.73,23.48
6.61031,3.34771,1983,1,28,29.66,17.22,54.26,23.13
6.61031,3.34771,1983,1,29,29.95,16.78,55.89,23.13
6.61031,3.34771,1983,1,30,30.05,17.45,57.73,23.42
6.61031,3.34771,1983,1,31,30.47,18.62,59.48,24.39
6.61031,3.34771,1983,2,1,30.97,19.35,64,24.76
6.61031,3.34771,1983,2,2,31.33,20.85,67.79,25.59
6.61031,3.34771,1983,2,3,31.77,20.58,65.84,25.52
