LAT-LI,LON-LI,YEAR,MO,DY,T-MAX_LI,T-MIN_LI,RH-LI,T-LI
6.45471,3.38921,1983,1,1,28.56,23.94,64.57,26.27
6.45471,3.38921,1983,1,2,27.89,22.52,62.94,25.29
6.45471,3.38921,1983,1,3,27.66,21.68,63.59,24.64
6.45471,3.38921,1983,1,4,27.11,21.21,65.22,24.23
6.45471,3.38921,1983,1,5,27.12,21.96,63.03,24.35
6.45471,3.38921,1983,1,6,25.91,20.43,60.76,23.32
6.45471,3.38921,1983,1,7,26.51,21.01,61.61,23.8
6.45471,3.38921,1983,1,8,26.8,21.34,63.44,24.08
6.45471,3.38921,1983,1,9,26.79,21.89,64.78,24.37
6.45471,3.38921,1983,1,10,27.72,22.04,66.26,24.71
6.45471,3.38921,1983,1,11,28.02,21.51,69.11,24.78
6.45471,3.38921,1983,1,12,28.32,21.65,70,24.9
6.45471,3.38921,1983,1,13,27.92,21.19,65.65,24.48
6.45471,3.38921,1983,1,14,27,21.51,64.23,24.39
6.45471,3.38921,1983,1,15,27.34,22.36,64.43,24.81
6.45471,3.38921,1983,1,16,28.23,22.16,69.9,25.06
6.45471,3.38921,1983,1,17,28.45,22.26,68.79,25.35
6.45471,3.38921,1983,1,18,29.25,22.32,67.02,25.78
6.45471,3.38921,1983,1,19,28.87,22.18,63.09,25.55
6.45471,3.38921,1983,1,20,28.69,23.38,58.25,26
6.45471,3.38921,1983,1,21,29.03,24.2,61.87,26.48
6.45471,3.38921,1983,1,22,28.59,23.83,64.77,26.05
6.45471,3.38921,1983,1,23,28.48,23.28,61.86,25.69
6.45471,3.38921,1983,1,24,27.92,21.13,59.05,24.74
6.45471,3.38921,1983,1,25,27.8,21.44,59.63,24.64
6.45471,3.38921,1983,1,26,28.1,22.07,59.63,25.17
6.45471,3.38921,1983,1,27,28.01,21.91,58.63,25.06
6.45471,3.38921,1983,1,28,27.95,21.36,57.74,24.76
6.45471,3.38921,1983,1,29,28.01,20.78,60.84,24.48
6.45471,3.38921,1983,1,30,27.98,21.71,59.51,24.79
6.45471,3.38921,1983,1,31,28.11,22.36,60.34,25.32
6.45471,3.38921,1983,2,1,28.36,22.51,68.31,25.47
6.45471,3.38921,1983,2,2,28.54,24.02,69.56,26.09
6.45471,3.38921,1983,2,3,28.91,23.83,69.78,26.11
6.45471,3.38921,1983,2,4,28.63,24.13,78.98,26.18
6.45471,3.38921,1983,2,5,28.56,24.71,82.98,26.41
6.45471,3.38921,1983,2,6,29.12,24.95,81.65,26.64
6.45471,3.38921,1983,2,7,28.86,24.85,82.86,26.62
6.45471,3.38921,1983,2,8,29.1,25.15,83.54,26.81
6.45471,3.38921,1983,2,9,28.61,25.34,83.52,26.78
6.45471,3.38921,1983,2,10,28.74,25.35,83.32,26.89
6.45471,3.38921,1983,2,11,28.71,26.11,82.5,27.1
6.45471,3.38921,1983,2,12,28.99,25.85,80.64,27.1
6.45471,3.38921,1983,2,13,28.95,25.45,82.31,26.96
6.45471,3.38921,1983,2,14,29.18,25.47,83.44,27.09
6.45471,3.38921,1983,2,15,29.2,25.75,84.51,27.22
6.45471,3.38921,1983,2,16,29.21,25.67,83.88,27.23
6.45471,3.38921,1983,2,17,29,25.71,82.43,27.06
6.45471,3.38921,1983,2,18,28.83,25.69,82.57,26.98
6.45471,3.38921,1983,2,19,29.15,25.5,79.94,27.07
6.45471,3.38921,1983,2,20,29.35,25.92,80.53,27.39
6.45471,3.38921,1983,2,21,29.79,26.01,80.21,27.68
6.45471,3.38921,1983,2,22,28.52,26.38,83.41,27.31
6.45471,3.38921,1983,2,23,29.35,25.95,81.17,27.52
6.45471,3.38921,1983,2,24,30.29,26.56,77.69,28.21
