Date,RH-LI,T-LI,RH-Ikeja,T-Ikeja ,T-IK,RH-IK
1/1/1983,64.57,26.27,66.62,24.32,23.81,68.48
1/2/1983,62.94,25.29,64.23,23.09,22.66,67.26
1/3/1983,63.59,24.64,65.79,22.2,21.92,67.39
1/4/1983,65.22,24.23,67.29,22.03,21.76,68.35
1/5/1983,63.03,24.35,66.48,21.86,21.62,67.42
1/6/1983,60.76,23.32,60.9,21.01,20.91,63.36
1/7/1983,61.61,23.8,63.08,21.58,21.48,65.18
1/8/1983,63.44,24.08,66.3,21.93,21.56,67.44
1/9/1983,64.78,24.37,67.21,22.41,22.01,69.52
1/10/1983,66.26,24.71,67.96,22.9,22.59,68.56
1/11/1983,69.11,24.78,68.64,23.2,23.02,69.78
1/12/1983,70,24.9,67.71,23.21,23.03,68.47
1/13/1983,65.65,24.48,62.4,22.38,22.28,64.15
1/14/1983,64.23,24.39,63.96,22.41,22.14,65.89
1/15/1983,64.43,24.81,65.74,23.24,22.87,67.45
1/16/1983,69.9,25.06,68.6,23.65,23.38,69.97
1/17/1983,68.79,25.35,67.08,24.14,23.76,66.87
1/18/1983,67.02,25.78,65.17,24.36,24.02,65.99
1/19/1983,63.09,25.55,60.57,24.03,23.69,62.76
1/20/1983,58.25,26,57.8,24.53,24.03,59.13
1/21/1983,61.87,26.48,60.98,25.36,25.05,60.48
1/22/1983,64.77,26.05,63.41,25.07,24.86,60.79
1/23/1983,61.86,25.69,59.63,24.36,24.05,60.13
1/24/1983,59.05,24.74,55.44,22.76,22.52,57.41
1/25/1983,59.63,24.64,58.03,22.67,22.53,60.22
1/26/1983,59.63,25.17,59.73,23.4,23.14,61.64
1/27/1983,58.63,25.06,55.73,23.48,23.27,57.46
1/28/1983,57.74,24.76,54.26,23.13,23.12,55.61
1/29/1983,60.84,24.48,55.89,23.13,23.15,58.42
1/30/1983,59.51,24.79,57.73,23.42,23.49,59.77
1/31/1983,60.34,25.32,59.48,24.39,24.09,60.49
2/1/1983,68.31,25.47,64,24.76,24.69,64.24
2/2/1983,69.56,26.09,67.79,25.59,25.62,65.62
2/3/1983,69.78,26.11,65.84,25.52,25.18,65.11
2/4/1983,78.98,26.18,73.82,25.61,25.56,72.85
2/5/1983,82.98,26.41,79.84,26.23,26.22,80.23
2/6/1983,81.65,26.64,76.02,26.91,26.92,76.49
2/7/1983,82.86,26.62,77.07,26.9,26.89,77.97
2/8/1983,83.54,26.81,77.66,27.23,27.22,78.08
2/9/1983,83.52,26.78,79.54,27,27.06,79.7
2/10/1983,83.32,26.89,79.31,26.98,26.95,79.75
2/11/1983,82.5,27.1,80.1,26.9,26.92,80.57
2/12/1983,80.64,27.1,76.91,27.11,27.1,77.37
2/13/1983,82.31,26.96,77.44,27.16,27.11,78.27
2/14/1983,83.44,27.09,78.07,27.35,27.22,78.9
2/15/1983,84.51,27.22,79.93,27.41,27.29,80.65
2/16/1983,83.88,27.23,78.7,27.48,27.52,78.58
2/17/1983,82.43,27.06,78.03,27.3,27.4,77.68
2/18/1983,82.57,26.98,78.17,27.13,27.18,78.39
2/19/1983,79.94,27.07,76.32,27.07,27.13,77.11
2/20/1983,80.53,27.39,75.94,27.42,27.37,76.54
2/21/1983,80.21,27.68,75.1,27.81,27.76,75.44
2/22/1983,83.41,27.31,80.15,27.2,27.24,80.32
2/23/1983,81.17,27.52,77.76,27.52,27.61,77.81
2/24/1983,77.69,28.21,73.59,28.41,28.49,73.84
2/25/1983,80.24,28.15,74.47,28.3,28.29,75.32
2/26/1983,79.59,27.8,70.16,27.7,27.76,70.76
2/27/1983,81.78,27.3,75.08,27.56,27.42,75.63
2/28/1983,79.77,27.15,72.93,27.57,27.41,74.13
3/1/1983,78.15,27.3,69.85,27.59,27.31,69.98
3/2/1983,80.12,27.38,74.76,27.41,27.22,75.73
3/3/1983,55.32,27.44,50.01,26.79,26.63,54.69
3/4/1983,64.17,27.15,53.31,26.53,26.56,52.23
3/5/1983,75.34,27.62,70.88,27.27,27.31,70.92
3/6/1983,77.75,27.55,73.78,27.44,27.45,74.39
3/7/1983,76.85,27.9,70.79,28.16,28.18,70.59
3/8/1983,74.24,27.72,67.27,27.4,26.91,64.86
3/9/1983,70.29,27.89,64.58,27.61,27.31,63.09
3/10/1983,75.1,28.06,68.97,27.88,27.7,68.46
3/11/1983,76.77,28.16,72.13,28.17,28.03,73.01
3/12/1983,76.82,28.35,71.76,28.45,28.28,72.8
3/13/1983,78.57,28.33,72.7,28.59,28.56,72.91
3/14/1983,80.06,28.2,73.43,28.62,28.55,74.14
3/15/1983,82.23,28.04,74.83,28.57,28.49,75.54
3/16/1983,82.19,28.01,75.38,28.47,28.43,75.46
3/17/1983,80.38,28.04,74.85,28.49,28.42,75.58
3/18/1983,79.19,28.22,72.94,28.68,28.61,73.8
3/19/1983,78.77,28.56,70.45,29.15,29.05,71.56
3/20/1983,81.76,28.46,74.9,28.88,28.9,75.14
3/21/1983,81.07,28.21,76.78,28.2,28.22,77.08
3/22/1983,78.3,28.4,74.59,28.37,28.4,74.39
3/23/1983,80.46,28.28,73.68,28.65,28.74,73.25
3/24/1983,80.78,28.19,73.66,28.7,28.72,73.78
3/25/1983,81.23,28.16,74.8,28.58,28.66,74.61
3/26/1983,81.06,28.17,75.06,28.66,28.78,74.74
3/27/1983,79.97,28.4,75.96,28.62,28.58,75.93
3/28/1983,80.15,28.45,75.62,28.62,28.55,75.93
3/29/1983,83.22,28.67,80.11,28.54,28.33,81.86
3/30/1983,80.57,28.75,79.29,28.31,28.31,78.61
3/31/1983,81.25,28.44,81.63,27.64,27.57,82.23
4/1/1983,78.55,28.27,79.06,27.79,27.65,79.77
4/2/1983,83.04,27.53,83.38,26.98,26.81,84.34
4/3/1983,82.72,26.88,83.82,26.3,26.3,84.58
4/4/1983,81.17,27.4,82.42,26.6,26.56,83.62
4/5/1983,84.19,27.83,84.26,27.33,26.97,86.66
4/6/1983,84.12,27.91,83.4,27.49,27.43,83.94
4/7/1983,82.77,28.13,80.8,28,28.05,80.54
4/8/1983,83.43,27.86,81,27.74,27.66,81.72
4/9/1983,84.64,27.71,83.89,27.29,27.23,84.43
4/10/1983,83.39,27.9,81.82,27.64,27.58,82.27
4/11/1983,83.23,27.69,83.34,27.18,27.1,83.84
4/12/1983,82.13,27.89,80.74,27.71,27.68,81.28
4/13/1983,84.24,27.45,82.64,27.38,27.38,83.37
4/14/1983,84.36,26.9,80.8,27.12,27.18,80.79
4/15/1983,84.24,27.04,82.56,27,27.1,83.17
4/16/1983,82.1,27.73,81.75,27.49,27.55,82.29
4/17/1983,84.25,27.83,83.26,27.5,27.22,85.38
4/18/1983,83.13,27.94,82.47,27.6,27.52,83.15
4/19/1983,84.22,27.96,82.98,27.67,27.56,83.64
4/20/1983,86.74,27.38,85.29,27.13,27.06,86.83
4/21/1983,84.63,27.34,84.14,27.05,27.13,84.05
4/22/1983,83.46,27.68,82.56,27.35,27.35,82.94
4/23/1983,82.15,28.09,80.05,27.94,28.02,80.05
4/24/1983,82.65,28.04,79.92,27.75,27.86,80.09
4/25/1983,83.33,27.9,83.29,27.17,27.31,83.42
4/26/1983,84.83,27.72,83.32,27.32,27.3,83.86
4/27/1983,83.75,27.37,82.35,26.97,26.95,83.07
4/28/1983,82.71,27.5,79.18,27.33,27.29,80.41
4/29/1983,83.08,27.72,82.17,27.37,27.34,82.53
4/30/1983,83.86,27.86,81.51,27.75,27.77,81.07
5/1/1983,85.67,27.74,83.2,27.63,27.66,82.81
5/2/1983,84.84,27.48,84.37,27.07,27.13,84.53
